workingTag,.io.name,.io.p&id,.io.desc,.io.pLbl,.gsHi,.configDis,.notPres,.almDlySp,.almShtdnEn,.almEn,.io.rawMin,.io.rawMax,.io.scldMin,.io.scldMax,.io.unit
ENG02_WRK;IO;FVY52_09,FVY 52.09,FVY 52.09,Filter 22.07 Drain,FVY 52.09,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
SCME_WRK;IO;HS00_00,HS 00.00,HS 00.00,Local EMO,HS 00.00,TRUE,TRUE,FALSE,1,TRUE,TRUE,,,,,
SCME_WRK;IO;REMO,REMO,REMO,Remote EMO,REMO,TRUE,TRUE,FALSE,1,TRUE,TRUE,,,,,
SCME_WRK;IO;RLSAF,RLSAF,RLSAF,Remote Life Safety,RLSAF,TRUE,TRUE,FALSE,1,TRUE,TRUE,,,,,
SCME_WRK;IO;HS20_00,HS 20.00,HS 20.00,"CTU, BCTU, CTDM EMO",HS 20.00,TRUE,TRUE,FALSE,1,TRUE,TRUE,,,,,
SCME_WRK;IO;PS00_00,PS 00.00,PS 00.00,Cabinet Exhaust Fault,PS 00.00,TRUE,TRUE,FALSE,1,TRUE,TRUE,,,,,
SCME_WRK;IO;LS00_05,LS 00.05,LS 00.05,Cabinet Leak 2,LS 00.05,TRUE,FALSE,FALSE,1,TRUE,TRUE,,,,,
SCME_WRK;IO;DIM02_06,,,SPARE,,FALSE,FALSE,TRUE,1,FALSE,FALSE,,,,,
SCME_WRK;IO;ZS00_00,ZS 00.00,ZS 00.00,Control Cabinet Door Interlock,ZS 00.00,TRUE,TRUE,FALSE,1,FALSE,TRUE,,,,,
SCME_WRK;IO;PS02_00,PS 02.00,PS 02.00,Z Purge,PS 02.00,TRUE,FALSE,FALSE,1,TRUE,TRUE,,,,,
SCME_WRK;IO;FIREDISCH,FIREDISCH,FIREDISCH,Remote Fire Suppression Discharge,FIREDISCH,TRUE,FALSE,FALSE,1,TRUE,TRUE,,,,,
SCME_WRK;IO;FIREDET,FIREDET,FIREDET,Fire Detected,FIREDET,TRUE,FALSE,FALSE,1,TRUE,TRUE,,,,,
SCME_WRK;IO;BS10_00_FAULT,BS 10_00_FAULT,BS 10_00_FAULT,Fire Detector Fault,BS 10_00_FAULT,TRUE,FALSE,FALSE,1,TRUE,TRUE,,,,,
SCME_WRK;IO;FIREWARN,FIREWARN,FIREWARN,Remote Fire Suppression Warning,FIREWARN,TRUE,FALSE,FALSE,1,TRUE,TRUE,,,,,
SCME_WRK;IO;BS10_00_WARN,BS 10_00_WARN,BS 10_00_WARN,Fire Detected Warning,BS 10_00_WARN,TRUE,FALSE,FALSE,1,TRUE,TRUE,,,,,
SCME_WRK;IO;ZS00_01,ZS 00.01,ZS 00.01,Alarm Bypass Key Switch,ZS 00.01,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,
SCME_WRK;IO;R4,R 4,R 4,EMO Enable,R 4,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,
